Code,Name,Station name Chinese,Station name Tamil,Opening,Name(s) during planning stages,Abbreviation,Location(s),Interchange; Adjacent transportation
North East Line (NEL),North East Line (NEL),North East Line (NEL),North East Line (NEL),North East Line (NEL),North East Line (NEL),North East Line (NEL),North East Line (NEL),North East Line (NEL)
NE1  CC29,HarbourFront,港湾,துறைமுகம்,20-Jun-03,World Trade Centre,HBF,Bukit Merah,"Circle Line
―
 HarbourFront
―
 Sentosa Express VivoCity
 Singapore Cable Car Mount Faber Line
 HarbourFront Centre 
 Singapore Cruise Centre"
—,"Station code ""NE2"" is reserved for a possible future station.","Station code ""NE2"" is reserved for a possible future station.","Station code ""NE2"" is reserved for a possible future station.","Station code ""NE2"" is reserved for a possible future station.","Station code ""NE2"" is reserved for a possible future station.","Station code ""NE2"" is reserved for a possible future station.","Station code ""NE2"" is reserved for a possible future station.","Station code ""NE2"" is reserved for a possible future station."
NE3  EW16,Outram Park,欧南园,ஊட்ரம் பார்க்,20-Jun-03,Outram Park,OTP,"Bukit Merah, Outram","East West Line
― 
 Kampong Bahru"
NE4  DT19,Chinatown,牛车水,சைனாடவுன்,20-Jun-03,People's Park,CNT,Outram,Downtown Line
NE5,Clarke Quay,克拉码头,கிளார்க் கீ,20-Jun-03,Clarke Quay,CQY,Singapore River Planning Area,—
NE6  NS24  CC1,Dhoby Ghaut,多美歌,டோபி காட்,20-Jun-03,Dhoby Ghaut,DBG,Museum Planning Area,"North South Line
 Circle Line"
NE7  DT12,Little India,小印度,லிட்டில் இந்தியா,20-Jun-03,Kandang Kerbau,LTI,"Kallang, Rochor",Downtown Line
NE8,Farrer Park,花拉公园,ஃபேரர் பார்க்,20-Jun-03,Farrer Park,FRP,"Kallang, Rochor",—
NE9,Boon Keng,文庆,பூன் கெங்,20-Jun-03,Boon Keng,BNK,Kallang,—
NE10,Potong Pasir,波东巴西,போத்தோங் பாசிர்,20-Jun-03,Sennett,PTP,Toa Payoh,—
NE11,Woodleigh,兀里,உட்லீ,20-Jun-11,Woodleigh,WLH,Toa Payoh,Bidadari
NE12  CC13,Serangoon,实龙岗,சிராங்கூன்,20-Jun-03,Serangoon,SER,Serangoon,"Circle Line
―
 Serangoon"
NE13,Kovan,高文,கோவன்,20-Jun-03,Kovan,KVN,Hougang,—
NE14,Hougang,后港,ஹவ்காங்,20-Jun-03,Hougang,HGN,Hougang,Hougang Central
NE15,Buangkok,万国,புவாங்கோக்,15-Jan-06,Buangkok,BGK,Sengkang,Buangkok
NE16  STC,Sengkang,盛港,செங்காங்,20-Jun-03,Sengkang,SKG,Sengkang,"Sengkang LRT
―
 Sengkang"
NE17  PTC,Punggol,榜鹅,பொங்கோல்,20-Jun-03,Punggol,PGL,Punggol,"Punggol LRT
―
 Punggol"
North East Line Extension (NELe),North East Line Extension (NELe),North East Line Extension (NELe),North East Line Extension (NELe),North East Line Extension (NELe),North East Line Extension (NELe),North East Line Extension (NELe),North East Line Extension (NELe),North East Line Extension (NELe)
—,Punggol Coast,榜鹅海岸,பொங்கோல் கோஸ்ட்,2024,Punggol Coast,PGC,Punggol,Punggol North
